Id,Name,Price,Old_price,Category,State,Delivery_price,Dicount_Percentage
9832846001,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi M/L,58.0,0
8763998498,SKARPETY TERMOAKTYWNE ULTRARUN PRO NESSI,26.9,39.9,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi 45-47 za kostkę,34.9,0
9697646350,KOMIN wielofunkcyjny COMBAT kominiarka MASKA szal,49.99,99.99,Allegro Sport i turystyka Bieganie Odzież,Nowy Combat,57.99,50
9839276287,CEP Kolanówki Skarpety Męskie Kompresyjne III,149.0,179.99,Allegro Sport i turystyka Bieganie Odzież,Nowy Cep M podkolanówki,157.6,0
9370971572,KOSZULKA TERMOAKTYWNA AVENTO DAMSKA CZARNA L,9.9,36.99,Allegro Sport i turystyka Bieganie Odzież,Nowy Avento L,15.8,73
9842385422,Rękawiczki do biegania NIKE DRI-FIT TAILWIND,49.0,89.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nike S,57.99,44
8584821699,Czapka do biegania PRO TOUCH Moby r.M,21.99,24.99,Allegro Sport i turystyka Bieganie Odzież,Nowy inna M,30.98,12
9080740604,"Gatta Leggins Run Men Dono 3/4 do biegania, L",65.9,99.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Gatta L,71.8,0
9072576258,Kamizelka damska bezrękawnik do biegania PUMA XL,49.0,99.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Puma XL,57.99,0
9080844017,"Gatta Leggins Run Women Daria 3/4 do biegania, M",69.9,99.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Gatta M,75.8,0
9406378639,Puma NIGHTCAT ILLUMINATE Kurtka do biegania r. L,230.0,270.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Puma L,238.99,0
8764035151,SKARPETY TERMOAKTYWNE ULTRARUN PRO NESSI,26.9,39.9,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi 38-40 za kostkę,34.9,0
9407160648,Gore Wear Mythos 2.0 Windstopper Kurtka MĘSKA S,390.0,420.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Gore S,398.99,0
9316146097,Czapka dziecięca Buff Junior Microfiber&Polar,39.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Buff inny,47.99,0
9325248589,Nike Dri-Fit Printed Baseline Koszulka Sportow r.S,95.0,120.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nike S,103.99,0
9068580619,LEGGINSY MĘSKIE THE NORTH FACE BRAVE THE COLD,229.0,399.0,Allegro Sport i turystyka Bieganie Odzież,Nowy The North Face M,237.99,0
